ID,Name,Abstract
84,Prodigy,"Assorted domains like blocksworld, eightpuzzle, and schedworld."
85,"Qualitative Structure Activity Relationships","Two sets of datasets are given: pyrimidines and triazines"
86,"Quadruped Mammals"," The file animals.c is a data generator of structured instances representing quadruped animals"
87,Servo,"Data was from a simulation of a servo system"
88,"Shuttle Landing Control","Tiny database; all nominal values"
89,"Solar Flare","Each class attribute counts the number of solar flares of a certain class that occur in a 24 hour period"
90,"Soybean (Large)","Michalski's famous soybean disease database"
91,"Soybean (Small)","Michalski's famous soybean disease database"
92,"Challenger USA Space Shuttle O-Ring","Task: predict the number of O-rings that experience thermal distress on a flight at 31 degrees F given data on the previous 23 shuttle flights"
93,"Low Resolution Spectrometer","From IRAS data -- NASA Ames Research Center"
94,Spambase,"Classifying Email as Spam or Non-Spam"
95,"SPECT Heart","Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories: normal and abnormal."
96,"SPECTF Heart","Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories: normal and abnormal."
97,Sponge,"Data on sponges; Attributes in spanish"
98,"Statlog Project","Various Databases: Vehicle silhouttes, Landsat Sattelite, Shuttle, Australian Credit Approval, Heart Disease, Image Segmentation, German Credit"
99,"Student Loan Relational","Student Loan Relational Domain"
100,"Teaching Assistant Evaluation","The data consist of evaluations of teaching performance; scores are "low", "medium", or "high""
101,"Tic-Tac-Toe Endgame","Binary classification task on possible configurations of tic-tac-toe game"
102,"Thyroid Disease","10 separate databases from Garavan Institute"
103,Trains,"2 data formats (structured, one-instance-per-line)"
104,University,"Data in original (LISP-readable) form"
105,"Congressional Voting Records","1984 United Stated Congressional Voting Records; Classify as Republican or Democrat"
106,"Water Treatment Plant","Multiple classes predict plant state"
107,"Waveform Database Generator (Version 1)","CART book's waveform domains"
108,"Waveform Database Generator (Version 2)","CART book's waveform domains"
109,Wine,"Using chemical analysis determine the origin of wines"
110,Yeast,"Predicting the Cellular Localization Sites of Proteins"
111,Zoo,"Artificial, 7 classes of animals"
112,Undocumented,"Various datasets without documentation (feel free to explore!)"
113,"Twenty Newsgroups","This data set consists of 20000 messages taken from 20 newsgroups."
114,"Australian Sign Language signs","This data consists of sample of Auslan (Australian Sign Language) signs. Examples of 95 signs were collected from five signers with a total of 6650 sign samples."
115,"Australian Sign Language signs (High Quality)","This data consists of sample of Auslan (Australian Sign Language) signs. 27 examples of each of 95 Auslan signs were captured from a native signer using high-quality position trackers"
116,"US Census Data (1990)","The USCensus1990raw data set contains a one percent sample of the Public Use Microdata Samples (PUMS) person records drawn from the full 1990 census sample."
117,"Census-Income (KDD)","This data set contains weighted census data extracted from the 1994 and 1995 current population surveys conducted by the U.S. Census Bureau."
118,"Coil 1999 Competition Data","This data set is from the 1999 Computational Intelligence and Learning (COIL) competition. The data contains measurements of river chemical concentrations and algae densities."
119,"Corel Image Features","This dataset contains image features extracted from a Corel image collection. Four sets of features are available based on the color histogram, color histogram layout, color moments, and co-occurence"
120,"E. Coli Genes","Data giving characteristics of each ORF (potential gene) in the E. coli genome. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided."
